PdfFileName,FileSize,SentenceNums,Status,OpenFileTS, StartCheckTS, EndCheckTS, CheckTime(ms), TotalTime(ms), 
(Short Paper) Developing a Smart Storage Container for a Blockchain-Based Supply Chain Application.pdf,392.712 KB,192,Pass,1594460969959.6,1594460969967.6003,1594460970147.5715,179.97121810913086,187.9713535308838
A blockchain framework for smart mobility.pdf,273.929 KB,387,Pass,1594460970637.4048,1594460970642.9268,1594460970740.891,97.96452522277832,103.48653793334961
A Blockchain Model for Word-Learning Systems.pdf,340.283 KB,82,Pass,1594460970889.8467,1594460970895.848,1594460971002.8228,106.97507858276367,112.9763126373291
A Blockchain Proxy for Lightweight IoT Devices.pdf,493.817 KB,222,Pass,1594460971034.8262,1594460971042.8193,1594460971168.8486,126.02949142456055,134.02247428894043
A Blockchain-Based Approach for the Creation of Digital Twins.pdf,2.076 MB,696,Pass,1594460971232.0657,1594460971258.9988,1594460971485.9995,227.00071334838867,253.93390655517578
A Blockchain-based Framework for Detecting Malicious Mobile Applications in App Stores.pdf,263.360 KB,259,Pass,1594460971513.9712,1594460971521.999,1594460971673.0007,151.0016918182373,159.02972221374512
A Blockchain-based key Management Scheme for Named Data Networking.pdf,1.113 MB,267,Pass,1594460971741.5186,1594460971756.5176,1594460971936.4915,179.97384071350098,194.97299194335938
A Blockchain-Based Trusted Data Management Scheme in Edge Computing.pdf,2.373 MB,593,Pass,1594460971978.492,1594460972007.5183,1594460975914.9705,3907.45210647583,3936.47837638855
A consortium blockchain paradigm on hyperledger-based peer-to-peer lending system.pdf,1.068 MB,441,Pass,1594460975950.957,1594460975966.9763,1594460976211.9768,245.00036239624023,261.0197067260742
A Cooperative Architecture for Blockchain Federated Mediators from Industry Perspective.pdf,367.123 KB,236,Pass,1594460976291.3523,1594460976298.348,1594460976466.3516,168.00355911254883,174.99923706054688
A Correctable Public Blockchain.pdf,191.349 KB,488,Pass,1594460976493.4136,1594460976498.3196,1594460976832.3433,334.02371406555176,338.9296531677246
A Decentralized Service-Platform Towards Cross-Domain Entitlement Handling.pdf,521.863 KB,400,Pass,1594460976912.8362,1594460976921.8352,1594460977045.8647,124.02963638305664,133.02874565124512
A Financial Evaluation Framework for Blockchain Implementations.pdf,313.664 KB,511,Pass,1594460977078.9053,1594460977084.8647,1594460977461.8645,376.9996166229248,382.95912742614746
A Full-Spectrum Blockchain-as-a-Service for Business Collaboration.pdf,491.056 KB,311,Pass,1594460977487.8364,1594460977495.835,1594460977718.836,223.00076484680176,230.99946975708008
A Fully Decentralized Time-Lock Encryption System on Blockchain.pdf,574.943 KB,281,Pass,1594460977771.5408,1594460977781.55,1594460977887.551,106.00113868713379,116.01018905639648
A Heuristic-Based Private Bitcoin Payment Network Formation Using Off-Chain Links.pdf,6.421 MB,511,Pass,1594460977924.5537,1594460978002.5525,1594460978755.5513,752.9988288879395,830.9977054595947
A High Performance Blockchain Platform for Intelligent Devices.pdf,1.553 MB,85,Pass,1594460978873.5193,1594460978895.542,1594460979075.542,180.00006675720215,202.02279090881348
A Hybrid Blockchain Architecture for Privacy-Enabled and Accountable Auctions.pdf,617.283 KB,497,Pass,1594460979093.5203,1594460979104.5469,1594460979308.5144,203.96757125854492,214.9941921234131
A Lightweight Blockchain-Based Privacy Protection for Smart Surveillance at the Edge.pdf,137.515 KB,280,Pass,1594460979364.756,1594460979368.758,1594460979442.7864,74.02849197387695,78.03034782409668
A Lightweight Payment Verification Protocol for Blockchain Transactions on IoT Devices.pdf,256.245 KB,442,Pass,1594460979470.8406,1594460979476.7864,1594460979608.7888,132.0023536682129,137.94803619384766
A master-slave blockchain paradigm and application in digital rights management.pdf,1.068 MB,134,Pass,1594460979625.79,1594460979644.7893,1594460980427.758,782.9687595367432,801.9678592681885
A Measurement Study of Bitcoin Lightning Network.pdf,790.188 KB,674,Pass,1594460980457.7688,1594460980469.7568,1594460980692.7595,223.00267219543457,234.99083518981934
A method of image privacy protection based on blockchain technology.pdf,64.854 KB,141,Pass,1594460980739.7603,1594460980743.7864,1594460980817.7878,74.00155067443848,78.02772521972656
A Multiple Blockchains Architecture on Inter-Blockchain Communication.pdf,318.453 KB,335,Pass,1594460980900.9653,1594460980907.0034,1594460981139.172,232.16867446899414,238.2066249847412
A Novel Blockchain Oracle Implementation Scheme Based on Application Specific Knowledge Engines.pdf,388.075 KB,285,Pass,1594460981199.848,1594460981207.609,1594460981320.609,112.99991607666016,120.76091766357422
A Permissioned Blockchain based Access Control System for IOT.pdf,836.873 KB,530,Pass,1594460981427.3774,1594460981439.231,1594460981677.1987,237.96772956848145,249.82118606567383
A Platform-independent| Generic-purpose| and Blockchain-based Supply Chain Tracking.pdf,81.128 KB,105,Pass,1594460981731.9177,1594460981735.268,1594460981768.2754,33.00738334655762,36.357879638671875
A Privacy-Aware PKI System Based on Permissioned Blockchains.pdf,493.104 KB,230,Pass,1594460981866.2031,1594460981875.2148,1594460982200.2131,324.9983787536621,334.01012420654297
A Privacy-Preserving Voting Protocol on Blockchain.pdf,1.144 MB,448,Pass,1594460982251.8574,1594460982267.9006,1594460982539.9,271.9991207122803,288.0423069000244
A Proposal for Account Recovery in Decentralized Applications.pdf,662.267 KB,519,Pass,1594460982566.9075,1594460982577.8655,1594460982769.864,191.99872016906738,202.9566764831543
A Reputation Management Framework for Knowledge-Based and Probabilistic Blockchains.pdf,809.709 KB,32,Pass,1594460982868.4678,1594460982879.5059,1594460983202.5059,322.9999542236328,334.03801918029785
A Response to the United Nations CITES Blockchain Challenge Incremental and Integrative PoA-based Permit Exchange.pdf,198.754 KB,668,Pass,1594460983259.3252,1594460983264.3364,1594460983678.3633,414.02697563171387,419.0380573272705
A Review on Benefits of IoT Integrated Blockchain based Supply Chain Management Implementations across Different Sectors with Case Study.pdf,3.137 MB,138,Pass,1594460983728.5977,1594460983773.635,1594460983944.6355,171.00048065185547,216.03775024414062
A Scalable and Extensible Blockchain Architecture.pdf,691.778 KB,169,Pass,1594460983975.606,1594460983986.6355,1594460984131.6067,144.97113227844238,156.00061416625977
A Security Reference Architecture for Blockchains.pdf,179.312 KB,769,Pass,1594460984187.2605,1594460984192.255,1594460984544.261,352.006196975708,357.00058937072754
A Small Java Application for Learning Blockchain.pdf,375.458 KB,231,Pass,1594460984560.2622,1594460984567.2334,1594460984709.2605,142.0271396636963,148.99826049804688
A Study on Hybrid Blockchain-based XGS (XOR Global State) Injection Technology for Efficient Contents Modification and Deletion.pdf,246.121 KB,232,Pass,1594460984760.1038,1594460984766.1433,1594460984913.8281,147.68481254577637,153.72443199157715
A Theoretical Model for Fork Analysis in the Bitcoin Network.pdf,562.666 KB,452,Pass,1594460984948.8572,1594460984958.8523,1594460985152.8528,194.0004825592041,203.9957046508789
A Vademecum on Blockchain Technologies- When| Which| and How.pdf,3.469 MB,3632,Pass,1594460985205.8647,1594460985246.8647,1594460991201.8367,5954.971790313721,5995.971918106079
A Video Surveillance System Based on Permissioned Blockchains and Edge Computing.pdf,566.405 KB,278,Pass,1594460991257.4834,1594460991266.6738,1594460991742.673,475.9993553161621,485.18967628479004
Access Control for Electronic Health Records with Hybrid Blockchain-Edge Architecture.pdf,1.008 MB,412,Pass,1594460991812.5671,1594460991826.61,1594460992202.5757,375.9655952453613,390.00844955444336
Adaptation of Proof-of-Stake-based Blockchains for IoT Data Streams.pdf,290.257 KB,100,Pass,1594460992256.5796,1594460992262.6047,1594460992301.587,38.98215293884277,45.00722885131836
AI Blockchain Platform for Trusting News.pdf,401.898 KB,465,Pass,1594460992390.7065,1594460992398.7605,1594460992864.7297,465.9690856933594,474.02310371398926
Air Gapped Wallet Schemes and Private Key Leakage in Permissioned Blockchain Platforms.pdf,157.424 KB,260,Pass,1594460992927.5999,1594460992932.6475,1594460993016.614,83.96649360656738,89.01405334472656
Airdrops and Privacy A Case Study in Cross-Blockchain Analysis.pdf,809.827 KB,388,Pass,1594460993037.6528,1594460993048.644,1594460993203.611,154.9670696258545,165.95840454101562
An Access Control Model and Its Application in Blockchain.pdf,377.707 KB,209,Pass,1594460993256.0361,1594460993266.8494,1594460993421.8486,154.9992561340332,165.81249237060547
An Efficient Miner Strategy for Selecting Cryptocurrency Transactions.pdf,742.386 KB,460,Pass,1594460993446.8494,1594460993458.0972,1594460993674.0981,216.00103378295898,227.2489070892334
Analysis of Data Management in Blockchain-Based Systems- From Architecture to Governance.pdf,6.207 MB,1106,Pass,1594460993728.0964,1594460993811.1013,1594460994179.1284,368.0272102355957,451.0319232940674
Analysis of the Possibilities for Improvement of BlockChain Technology.pdf,323.784 KB,250,Pass,1594460994233.093,1594460994240.0908,1594460994549.0884,308.99763107299805,315.995454788208
ArtChain- Blockchain-Enabled Platform for Art Marketplace.pdf,514.683 KB,458,Pass,1594460994584.1042,1594460994594.09,1594460994814.0903,220.0002670288086,229.98595237731934
Attack Surface Analysis of Permissioned Blockchain Platforms for Smart Cities.pdf,287.549 KB,392,Pass,1594460994891.5906,1594460994897.637,1594460995011.6206,113.9836311340332,120.02992630004883
Aurora- a robust and trustless verification and synchronization algorithm for distributed ledgers.pdf,500.439 KB,416,Pass,1594460995040.628,1594460995049.6526,1594460995284.6448,234.99226570129395,244.0168857574463
Automatic Information Disclosure with Value Chains Based on Blockchain Technology.pdf,4.082 MB,211,Pass,1594460995367.3738,1594460995418.242,1594460995658.2183,239.9764060974121,290.8446788787842
